varId	varName	varTitle	varClass	dUnit	mUnit	aUnit	vLen
0	metv_prcp	precipitation		 [mm/d]	 [mm/mon]	 [mm/a]	4
1	metv_tmax	daily max. air temperature	W	 [°C]	 [°C]	 [°C]	4
2	metv_tmin	daily min. air temperature	°C	 [°C]	 [°C]	 [°C]	4
3	metv_tmean	daily aver. temperature	°C	 [°C]	 [°C]	 [°C]	4
4	metv_tday	daylight average air temperature	°C	 [°C]	 [°C]	 [°C]	4
5	metv_tnight	nightime average air temperature	°C	 [°C]	 [°C]	 [°C]	4
6	metv_tsoil_10	daily soil temperature, avg, top 10 cm layers	°C	 [°C]	 [°C]	 [°C]	4
7	metv_vpd	vapor pressure deficit	Pa	 [Pa]	 [Pa]	 [Pa]	4
8	metv_swavgfd	daylight avg shortwave flux density	W	 [W/m²]	 [W/m²]	 [W/m²]	4
9	metv_swtrans	transmitted shortwave flux	W	 [W/m²]	 [W/m²]	 [W/m²]	4
10	metv_par	photosynthetically active radiation	W	 [W/m²]	 [W/m²]	 [W/m²]	4
11	metv_pa	atmospheric pressure	Pa	 [Pa]	 [Pa]	 [Pa]	4
12	metv_co2	atmospheric CO2	-	 [ppmv]	 [ppmv]	 [ppmv]	4
13	metv_dayl	daylength	-	 [sec]	 [sec]	 [sec]	4
30	cs_soil1	cs_soil1	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
31	cs_soil2	cs_soil2	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
32	cs_soil3	cs_soil3	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
33	cs_soil4	cs_soil4	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
34	cs_soil_wst	soil C in 0-200 cm	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
35	cs_cum_soil1_hr	cum. heterotr. respir. from soil-1 C pool	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
36	cs_cum_soil2_hr	cum. heterotr. respir. from soil-2 C pool	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
37	cs_cum_soil3_hr	cum. heterotr. respir. from soil-3 C pool	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
38	cs_cum_soil4_hr	cum. heterotr. respir. from soil-4 C pool	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
40	cf_site_soil1_hr	heterotr. respir. from soil-1 pool	cf	 [t C/(ha*d)]	 [t C/(ha*m)]	 [t C/(ha*a)]	4
41	cf_site_soil1_to_soil2	cf_site_soil1c_to_soil2c	cf	 [t C/(ha*d)]	 [t C/(ha*m)]	 [t C/(ha*a)]	4
42	cf_site_soil2_hr	heterotr. respir. from soil-2 pool	cf	 [t C/(ha*d)]	 [t C/(ha*m)]	 [t C/(ha*a)]	4
43	cf_site_soil2_to_soil3	cf_site_soil2c_to_soil3c	cf	 [t C/(ha*d)]	 [t C/(ha*m)]	 [t C/(ha*a)]	4
44	cf_site_soil3_hr	heterotr. respir. from soil-3 pool	cf	 [t C/(ha*d)]	 [t C/(ha*m)]	 [t C/(ha*a)]	4
45	cf_site_soil3_to_soil4	cf_site_soil3c_to_soil4c	cf	 [t C/(ha*d)]	 [t C/(ha*m)]	 [t C/(ha*a)]	4
46	cf_site_soil4_hr	heterotr. respir. from soil-4 pool	cf	 [t C/(ha*d)]	 [t C/(ha*m)]	 [t C/(ha*a)]	4
50	ns_soil1	soil-1 N	ns	 [kg N/ha]	 [kg N/ha]	 [kg N/ha]	4
