varId	varName	varTitle	varClass	dUnit	mUnit	aUnit	vLen
0	metvar_vegt_swabs	canopy absorbed shortwave flux	W	 [W/m²]	 [W/m²]	 [W/m²]	4
1	metvar_vegt_swtrans	transmitted shortwave flux	W	 [W/m²]	 [W/m²]	 [W/m²]	4
2	metvar_vegt_swabs_per_plaisun	swabs per unit sunlit proj LAI	W	 [W/m²]	 [W/m²]	 [W/m²]	4
3	metvar_vegt_swabs_per_plaishade	swabs per unit shaded proj LAI	W	 [W/m²]	 [W/m²]	 [W/m²]	4
4	metvar_vegt_ppfd_per_plaisun	ppfd per unit sunlit proj LAI	W	 [W/m²]	 [W/m²]	 [W/m²]	4
5	metvar_vegt_ppfd_per_plaishade	ppfd per unit shaded proj LAI	W	 [W/m²]	 [W/m²]	 [W/m²]	4
6	metvar_vegt_parabs	PAR absorbed by canopy	W	 [W/m²]	 [W/m²]	 [W/m²]	4
7	metvar_vegt_partrans	PAR not absorbed by canopy	W	 [W/m²]	 [W/m²]	 [W/m²]	4
8	metvar_vegt_swabs_cov	canopy absorbed shortwave flux coverd	W	 [W/m²]	 [W/m²]	 [W/m²]	4
9	metvar_vegt_swtrans_cov	transmitted shortwave flux coverd	W	 [W/m²]	 [W/m²]	 [W/m²]	4
10	cs_vegt_leaf	leaf C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
11	cs_vegt_leaf_storage	leaf storage C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
12	cs_vegt_leaf_transfer	leaf transfer C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
13	cs_vegt_froot	fine root C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
14	cs_vegt_froot_storage	fine root storage C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
15	cs_vegt_froot_transfer	fine root transfer C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
16	cs_vegt_livestem	live stem C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
17	cs_vegt_livestem_storage	live stem storage C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
18	cs_vegt_livestem_transfer	live stem transfer C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
19	cs_vegt_deadstem	dead stem C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
20	cs_vegt_deadstem_storage	dead stem storage C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
21	cs_vegt_deadstem_transfer	dead stem transfer C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
22	cs_vegt_livecroot	live coarse root C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
23	cs_vegt_livecroot_storage	live coarse root storage C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
24	cs_vegt_livecroot_transfer	live coarse root transfer C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
25	cs_vegt_deadcroot	dead coarse root C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
26	cs_vegt_deadcroot_storage	dead coarse root storage C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
27	cs_vegt_deadcroot_transfer	dead coarse root transfer C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
28	cs_vegt_gresp_storage	growth respiration storage C pool	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
29	cs_vegt_gresp_transfer	growth respiration transfer C pool 	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
30	cs_vegt_st_cwd	coarse stem woody debris C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
31	cs_vegt_r_cwd	coarse root woody debris C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
32	cs_vegt_l_litr1	leaf litter-1 C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
33	cs_vegt_l_litr2	leaf litter-2 C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
34	cs_vegt_l_litr3	leaf litter-3 C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
35	cs_vegt_l_litr4	leaf litter-4 C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
36	cs_vegt_fr_litr1	fine root litter-1 C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
37	cs_vegt_fr_litr2	fine root litter-2 C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
38	cs_vegt_fr_litr3	fine root litter-3 C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
39	cs_vegt_fr_litr4	fine root litter-4 C	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
40	cs_vegt_cpool	temp. photosynth. C pool 	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
41	cs_vegt_cum_psnsun	cum. gross PSN from sunlit canopy	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
42	cs_vegt_cum_psnshade	cum. gross PSN from shaded canopy	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
43	cs_vegt_cum_leaf_mr	cum. leaf maintenance respiration	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
44	cs_vegt_cum_leaf_gr	cum. leaf growth respiration	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
45	cs_vegt_cum_froot_mr	cum. fine root maintenance respiration	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
46	cs_vegt_cum_froot_gr	cum. fine root growth respiration	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
47	cs_vegt_cum_livestem_mr	cum. live stem maintenance respiration	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
48	cs_vegt_cum_livestem_gr	cum. live stem growth respiration	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
49	cs_vegt_cum_deadstem_gr	cum. dead stem growth respiration	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
50	cs_vegt_cum_livecroot_mr	cum. live coarse root maintenance respiration	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
51	cs_vegt_cum_livecroot_gr	cum. live coarse root growth respiration	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
52	cs_vegt_cum_deadcroot_gr	cum. dead coarse root growth respiration	cs	 [t C/ha]	 [t C/ha]	 [t C/ha]	4
